<<<<<<< HEAD
26,2020-07-27 00:00:00,1.45,52
27,2020-07-27 03:00:00,1.48,90
28,2020-07-27 06:00:00,1.64,130
29,2020-07-27 09:00:00,2.52,174
30,2020-07-27 12:00:00,3.96,201
31,2020-07-27 15:00:00,4.62,231
32,2020-07-27 18:00:00,3.34,244
33,2020-07-27 21:00:00,2.34,216
34,2020-07-28 00:00:00,2.93,252
35,2020-07-28 03:00:00,2.89,248
36,2020-07-28 06:00:00,3.31,252
37,2020-07-28 09:00:00,3.73,247
38,2020-07-28 12:00:00,4.83,239
39,2020-07-28 15:00:00,4.7,234
40,2020-07-28 18:00:00,3.94,251
41,2020-07-28 21:00:00,3.58,308
42,2020-07-29 00:00:00,2.71,319
43,2020-07-29 03:00:00,2.77,316
44,2020-07-29 06:00:00,3.57,289
45,2020-07-29 09:00:00,3.7,294
46,2020-07-29 12:00:00,4.29,300
47,2020-07-29 15:00:00,3.95,299
48,2020-07-29 18:00:00,3.94,330
49,2020-07-29 21:00:00,2.32,14
50,2020-07-30 00:00:00,2.46,37
51,2020-07-30 03:00:00,2.44,40
52,2020-07-30 06:00:00,1.82,35
53,2020-07-30 09:00:00,2.52,39
54,2020-07-30 12:00:00,1.79,46
55,2020-07-30 15:00:00,2.11,64
56,2020-07-30 18:00:00,2.87,61
57,2020-07-30 21:00:00,3.71,77
58,2020-07-31 00:00:00,3.09,87
59,2020-07-31 03:00:00,2.99,96
60,2020-07-31 06:00:00,3.15,107
61,2020-07-31 09:00:00,3.33,110
62,2020-07-31 12:00:00,2.75,122
63,2020-07-31 15:00:00,2.16,195
64,2020-07-31 18:00:00,1.81,238
65,2020-07-31 21:00:00,1.69,147
66,2020-08-01 00:00:00,2.78,239
67,2020-08-01 03:00:00,3.29,266
68,2020-08-01 06:00:00,3.45,239
69,2020-08-01 09:00:00,5.22,238
70,2020-08-01 12:00:00,6.2,238
71,2020-08-01 15:00:00,7.04,244
72,2020-08-01 18:00:00,4.4,267
73,2020-08-01 21:00:00,3.28,263
74,2020-08-02 00:00:00,3.59,245
75,2020-08-02 03:00:00,3.86,250
76,2020-08-02 06:00:00,4.85,248
77,2020-08-02 09:00:00,6.24,249
78,2020-08-02 12:00:00,6.07,247
79,2020-08-02 15:00:00,6.48,251
80,2020-08-02 18:00:00,4.31,252
>>>>>>> dfd3ee4a1564a95c18affed420e617b31e19ee85
