<<<<<<< HEAD
67,2020-08-01 03:00:00,2.41,245
68,2020-08-01 06:00:00,4.15,232
69,2020-08-01 09:00:00,4.71,233
70,2020-08-01 12:00:00,6.97,241
71,2020-08-01 15:00:00,5.87,260
72,2020-08-01 18:00:00,4.79,270
73,2020-08-01 21:00:00,3.49,257
74,2020-08-02 00:00:00,2.5,274
75,2020-08-02 03:00:00,3.29,254
76,2020-08-02 06:00:00,4.78,239
77,2020-08-02 09:00:00,5.95,245
78,2020-08-02 12:00:00,6.41,243
79,2020-08-02 15:00:00,5.46,250
80,2020-08-02 18:00:00,3.97,239
>>>>>>> dfd3ee4a1564a95c18affed420e617b31e19ee85
